trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.5, 'e': 0.35886823187544054}",20,0,-18.586416254916013,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.3569891106673702}",20,0,-28.096805133294815,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.3551198289942628}",25,0,-38.95136187453422,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.35279698528378456}",20,0,-58.90947231069262,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.35094965459718275}",20,0,-51.11741640716237,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.34911199698265355}",20,0,-0.1801698801389744,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.3472839617896427}",25,0,-15.615912151866471,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.34501237259486955}",25,0,-68.27866218992665,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.34275564189642094}",25,0,-41.567198190535045,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.340513672504667}",20,0,4.777897012054349,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.33873066022660187}",20,1,-31.626937185419123,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.33704544705240186}",25,3,2.1042420128711985,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.33510461913028167}",20,0,-60.81164231818661,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
